"IP","MAC","Vendor","Port","URL","SYN_Result","TCP_Connect","HTTP_Status","Title","Server","Service"
"192.168.8.131","E0:AE:A2:6D:F4:A9","Huawei Technologies","80","http://192.168.8.131/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.133","E0:AE:A2:6E:03:67","Huawei Technologies","80","http://192.168.8.133/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.136","E0:AE:A2:6E:0A:93","Huawei Technologies","80","http://192.168.8.136/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.141","E0:AE:A2:6D:DD:7C","Huawei Technologies","80","http://192.168.8.141/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.142","E0:AE:A2:6D:DB:B1","Huawei Technologies","80","http://192.168.8.142/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.146","E0:AE:A2:6D:B6:4E","Huawei Technologies","80","http://192.168.8.146/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.148","E0:AE:A2:6E:27:FE","Huawei Technologies","80","http://192.168.8.148/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.151","E0:AE:A2:6E:21:D1","Huawei Technologies","80","http://192.168.8.151/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.152","E0:AE:A2:6E:0E:B1","Huawei Technologies","80","http://192.168.8.152/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.155","E0:AE:A2:6D:BB:38","Huawei Technologies","80","http://192.168.8.155/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.157","E0:AE:A2:6E:03:BC","Huawei Technologies","80","http://192.168.8.157/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.159","E0:AE:A2:6D:EB:19","Huawei Technologies","80","http://192.168.8.159/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.162","E0:AE:A2:6E:1D:6F","Huawei Technologies","80","http://192.168.8.162/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.166","E0:AE:A2:6D:F0:69","Huawei Technologies","80","http://192.168.8.166/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.169","E0:AE:A2:6D:DF:36","Huawei Technologies","80","http://192.168.8.169/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.171","E0:AE:A2:6E:26:66","Huawei Technologies","80","http://192.168.8.171/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.173","E0:AE:A2:6D:E2:EE","Huawei Technologies","80","http://192.168.8.173/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.175","E0:AE:A2:6D:DC:B0","Huawei Technologies","80","http://192.168.8.175/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.176","E0:AE:A2:6E:41:F5","Huawei Technologies","80","http://192.168.8.176/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.179","E0:AE:A2:6D:D7:60","Huawei Technologies","80","http://192.168.8.179/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.181","E0:AE:A2:6D:BE:02","Huawei Technologies","80","http://192.168.8.181/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.182","E0:AE:A2:6E:0F:F4","Huawei Technologies","80","http://192.168.8.182/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.187","E0:AE:A2:6E:2F:B2","Huawei Technologies","80","http://192.168.8.187/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.235","E0:AE:A2:6D:BC:59","Huawei Technologies","80","http://192.168.8.235/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.10.1","0C:84:08:FF:54:FD","Huawei Technologies","80","http://192.168.10.1/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.10.1","0C:84:08:FF:54:FD","Huawei Technologies","443","https://192.168.10.1/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.10.148","E0:AE:A2:6D:ED:C1","Huawei Technologies","80","http://192.168.10.148/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.10.154","E0:AE:A2:6E:49:43","Huawei Technologies","80","http://192.168.10.154/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
